Gym name,description,latitude,longitude,City,Street,Landmark,phonenumber
Whim Gym,"Whim Gym is a boutique gym that sets new standards for group and personal fitness. We have been sharing our passion for fitness and well-being for the past 15 years, and we understand what you look for when you walk into your gym. Whether for the first, or the thousandth time, you expect to walk out a better version of yourself. Our team of trainers will coach you in a safe, effective, and progressive way, and inspire you to perform beyond your expectations.A fitness experience designed just for you.",33.853073,35.537869,Hazmie,Damascus Road_ Damascus international Road Hazmieh ,Midpoint Center 3rd Floor Hazmie,03 887 873
Fitness B,Private Training & Group Exercise Studio.,33.874695,35.516496,Beirut,Badaro,Next to Onno Badaro,70 297 507
ABBA Gym Lebanon,,33.894888,35.539952,Beirut,"Nahr Street, Burj Hammud",Master mall,01 241 024
