Class,Start time,End time,Categories,rule,gym,price,level,description
ABS & BUTT,19:00,20:00,Strength training,"IceCube::Rule.weekly(1).day(1,3)",ABAA Gym Lebanon,10,All levels,"Sculpt, tone, define, shed inches, lean legs, tight buns, body firming, lose weight."
ZUMBA,8:00 PM,9:00 PM,"Dance,Cardio","IceCube::Rule.weekly(1).day(1,3)",ABAA Gym Lebanon,10,All levels,"Zumba is a fusion of Latin and International music/dance themes that create exciting dynamics. It is based on the principle that a workout should be ""Fun and easy to do!"" The routines feature aerobic fitness interval training with a combination of fast and slow rhythms that tone and sculpt the body."
MMA,8:30 PM,10:00 PM,Martial arts,"IceCube::Rule.weekly(1).day(2,4)",ABAA Gym Lebanon,10,All levels,"With gloves and mitts you will be ready to feel the burn in this high intensity class. The instructor will lead you through a professional boxer workout with extreme fitness drills (cardio, kicks and punches...)"
AEROBICS,5:00 PM,6:00 PM,"Cardio,Stretching",IceCube::Rule.weekly(1).day(3),ABAA Gym Lebanon,10,All levels,Aerobics is a form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines with the goal of improving all elements of fitness
LATIN,6:00 PM,7:00 PM,Dance,IceCube::Rule.weekly(1).day(4),ABAA Gym Lebanon,10,All levels,"The class is focused around basic body rhythms inherent in Cumbia, Merengue, Salsa, Bachata and Cha-Cha-Cha."
AEROBICS,12:00 PM,1:00 PM,"Cardio,Stretching",IceCube::Rule.weekly(1).day(3),ABAA Gym Lebanon,10,All levels,Aerobics is a form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines with the goal of improving all elements of fitness
LATIN Kids,5:00 PM,6:00 PM,"Dance,kids",IceCube::Rule.weekly(1).day(5),ABAA Gym Lebanon,10,All levels,"The class is focused around basic body rhythms inherent in Cumbia, Merengue, Salsa, Bachata and Cha-Cha-Cha."
Yoga,7:00 PM,8:30 PM,Yoga,IceCube::Rule.weekly(1).day(5),ABAA Gym Lebanon,10,All levels,A gentle practice that helps connect the body and the breath while building strength and mobility. Deepen or begin your Yoga practice and leave class feeling better than when you arrived â€“ body and mind!
Yoga,8:30 PM,10:00 PM,Yoga,IceCube::Rule.weekly(1).day(5),WHIM GYM,10,All levels,A gentle practice that helps connect the body and the breath while building strength and mobility. Deepen or begin your Yoga practice and leave class feeling better than when you arrived â€“ body and mind!
